observation_date,SPPOP0014TOZSUSA
2000-01-01,21.1634383772125
2001-01-01,21.0312593316457
2002-01-01,20.8861195346714
2003-01-01,20.7263897088877
2004-01-01,20.5479906521636
2005-01-01,20.3453590636092
2006-01-01,20.1585030857082
2007-01-01,20.0187977424137
2008-01-01,19.9086542295061
2009-01-01,19.8060373678460
2010-01-01,19.6998459700050
2011-01-01,19.5987027309377
2012-01-01,19.5063858063675
2013-01-01,19.4092161082283
2014-01-01,19.3063454853775
2015-01-01,19.1916943798524
2016-01-01,19.0672311047361
2017-01-01,18.9389474833660
2018-01-01,18.7864697356003
2019-01-01,18.6084404882877
2020-01-01,18.3928572241369
2021-01-01,18.1461171256033
2022-01-01,17.8818251956671
2023-01-01,17.5946376490897
